SCIENTIFIC NAME,TRADE NAME,INDICATION,ICD 10 CODE
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),URETHRITIS & NONGONOCOCCAL URETHRIIS,N34.1
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),ACUTE EXACERBATION OF BRONCHIECTASIS (NON-CYSTIC FIBROSIS)-LONG-TERM ORAL ANTIBIOTIC TREATMENT,J47
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD),J44
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),PERICORONITIS,K04.4
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),OCULAR ROSACEA,"H10.8, L71"
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),PAPULOPUSTULAR ROSACEA,L71
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),SINUSITIS,"J01, J32"
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),ORCHITIS AND EPIDIDYMITIS,N45
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),ASTHMA,J45
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),COMMUNITY ACQUIRED PNEUMONEA,J18.9
AZITHROMYCIN,AZYTER (15mg/g) ED SDU 6'S (N),HUMAN IMMUNODEFICIENCY VIRUS,B20
BACLOFEN,BACLOFEN 5MG/5ML ORAL SOLUTION 300ML(N),SPASTICITY,M62.8
BACLOFEN,BACLOFEN 5MG/5ML ORAL SOLUTION 300ML(N),NARCOLEPSY AND CATAPLEXY,G47.4
BACLOFEN,BACLOFEN 5MG/5ML ORAL SOLUTION 300ML(N),TOURETTE SYNDROME,F95.2
BACLOFEN,BACLOFEN 5MG/5ML ORAL SOLUTION 300ML(N),LOW BACK PAIN,M54.5
BACLOFEN,BACLOFEN 5MG/5ML ORAL SOLUTION 300ML(N),TRIGEMINAL NEURALGIA,G50.0
BACLOFEN,BACLOFEN 5MG/5ML ORAL SOLUTION 300ML(N),MULTIPLE SCLEROSIS,G35
BACLOFEN,BACLOFEN 5MG/5ML ORAL SOLUTION 300ML(N),GASTROESOPHAGEAL REFLUX DISEASE (GERD),K21
BACLOFEN,BACLOFEN 5MG/5ML ORAL SOLUTION 300ML(N),METACHROMATIC LEUKODYSTROPHY,E75.25
MULTIVITAMINS,Baxter Multi -12/K Pediatric Multiple Vitamins for Infusion/Dose 2'S (N),EPIDERMOLYSIS BULLOSA,Q81
MULTIVITAMINS,Baxter Multi -12/K Pediatric Multiple Vitamins for Infusion/Dose 2'S (N),BARIATRIC SURGERY,Z98.84
BENZATROPINE [BENZTROPINE],BENZTROPINE 2MG TAB 100'S (N),PARKINSON'S DISEASE / DRUG-INDUCED EXTRAPYRAMIDAL EFFECTS,"G20, G24"
BETAMETHASONE DIPROPIONATE,BETAMETHASONE DIPROPIONATE OINTMENT 0.05% 15g (N),HUMAN IMMUNODEFICIENCY VIRUS,B20
BETAMETHASONE DIPROPIONATE,BETAMETHASONE DIPROPIONATE OINTMENT 0.05% 15g (N),SCLERODERMA,M34
BETAMETHASONE DIPROPIONATE,BETAMETHASONE DIPROPIONATE OINTMENT 0.05% 15g (N),SEBORRHEIC DERMATITIS,L21
BETAMETHASONE DIPROPIONATE,BETAMETHASONE DIPROPIONATE OINTMENT 0.05% 15g (N),ECZEMA,L20
BETAMETHASONE DIPROPIONATE,BETAMETHASONE DIPROPIONATE OINTMENT 0.05% 15g (N),PSORIASIS,L40
BETAMETHASONE DIPROPIONATE,BETAMETHASONE DIPROPIONATE OINTMENT 0.05% 15g (N),LICHEN PLANUS,L43
BETAMETHASONE DIPROPIONATE,BETAMETHASONE DIPROPIONATE OINTMENT 0.05% 15g (N),GRAFT VERSUS HOST DISEASE,D89.81
BICALUTAMIDE,BICALUTAMIDE 150 MG TAB 30'S (N),PROSTATE CANCER,"C61, D07.5"
BICALUTAMIDE,BICALUTAMIDE 50 MG TAB 30'S(N),PROSTATE CANCER,"C61, D07.5"
BICALUTAMIDE,BICALUTAMIDE 50MG TAB 28'S(N),PROSTATE CANCER,"C61, D07.5"
BIOTIN,"BIOTIN 10,000 MCG TAB 120'S (N)",BIOTIN DEFICIENCY,E53.8
HYALURONATE DERIVATIVES,BIOVIS 1.6% (OVD) SYRINGE 1'S(N),CATARACT SURGERY / OSTEOARTHRITIS,"H25, H26, M17"
BIPERIDEN HYDROCHLORIDE,BIPERIDEN HYDROCHLORIDE 2MG TAB 50'S (N),PARKINSON'S DISEASE,"G20, G21, G22"
BLEOMYCIN,BLEOMYCIN 15 IU INJECTION (N),HODGKIN LYMPHOMA / TESTICULAR CANCER,"C81, C84, C62"
BUDESONIDE,BUDENOFALK 2MG/DOSE RECTAL FOAM 14'S (N),MAST CELL ACTIVATION SYNDROME,D89.81
BUDESONIDE,BUDENOFALK 2MG/DOSE RECTAL FOAM 14'S (N),SJOGREN'S SYNDROME,M35.0
BUDESONIDE,BUDENOFALK 2MG/DOSE RECTAL FOAM 14'S (N),ASTHMA,J45
BUDESONIDE,BUDENOFALK 2MG/DOSE RECTAL FOAM 14'S (N),ULCERATIVE COLITIS,K51
BUDESONIDE,BUDENOFALK 2MG/DOSE RECTAL FOAM 14'S (N),SINUSITIS,"J01, J32"
BUDESONIDE,BUDENOFALK 2MG/DOSE RECTAL FOAM 14'S (N),ALLERGIC RHINITIS,J30
BUDESONIDE,BUDENOFALK 2MG/DOSE RECTAL FOAM 14'S (N),GRAFT VERSUS HOST DISEASE,D89.81
BUDESONIDE,BUDENOFALK 2MG/DOSE RECTAL FOAM 14'S (N),COPD,J44
BUDESONIDE,BUDENOFALK 2MG/DOSE RECTAL FOAM 14'S (N),AUTOIMMUNE HEPATITIS,K75.4
BUDESONIDE,BUDENOFALK 2MG/DOSE RECTAL FOAM 14'S (N),CROHN'S DISEASE,K50
BUDESONIDE,BUDENOFALK 2MG/DOSE RECTAL FOAM 14'S (N),CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD),J44
BUDESONIDE,BUDENOFALK 2MG/DOSE RECTAL FOAM 14'S (N),NEONATAL RESPIRATORY DISTRESS SYNDROME (NRDS),P22
BUDESONIDE,BUDENOFALK 3 MG TAB 10'S (N),MAST CELL ACTIVATION SYNDROME,D89.81
BUDESONIDE,BUDENOFALK 3 MG TAB 10'S (N),SJOGREN'S SYNDROME,M35.0
BUDESONIDE,BUDENOFALK 3 MG TAB 10'S (N),ASTHMA,J45
BUDESONIDE,BUDENOFALK 3 MG TAB 10'S (N),ULCERATIVE COLITIS,K51
BUDESONIDE,BUDENOFALK 3 MG TAB 10'S (N),SINUSITIS,"J01, J32"
BUDESONIDE,BUDENOFALK 3 MG TAB 10'S (N),ALLERGIC RHINITIS,J30
BUDESONIDE,BUDENOFALK 3 MG TAB 10'S (N),GRAFT VERSUS HOST DISEASE,D89.81
BUDESONIDE,BUDENOFALK 3 MG TAB 10'S (N),COPD,J44
BUDESONIDE,BUDENOFALK 3 MG TAB 10'S (N),AUTOIMMUNE HEPATITIS,K75.4
BUDESONIDE,BUDENOFALK 3 MG TAB 10'S (N),CROHN'S DISEASE,K50
BUDESONIDE,BUDENOFALK 3 MG TAB 10'S (N),CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD),J44
BUDESONIDE,BUDENOFALK 3 MG TAB 10'S (N),NEONATAL RESPIRATORY DISTRESS SYNDROME (NRDS),P22
BUMETANIDE,BUMETANIDE 1 MG TAB 20'S(N),HEART FAILURE / HYPERTENSION / OEDEMA,"I50, I10, N04"
BUMETANIDE,BUMETANIDE 1 MG TAB 28'S(N),HEART FAILURE / HYPERTENSION / OEDEMA,"I50, I10, N04"
BUPIVACAINE,BUPIVACAINE 0.25% VIAL 20ML -1'S(N),ANESTHESIA,"Y48, T41, T88.2, T88.5"
BUPIVACAINE,BUPIVACAINE 0.25% VIAL 20ML -1'S(N),POSTOPERATIVE PAIN,G89.18
BUPIVACAINE,BUPIVACAINE 0.5% VIAL 10ML -1'S(N),ANESTHESIA,"Y48, T41, T88.2, T88.5"
BUPIVACAINE,BUPIVACAINE 0.5% VIAL 10ML -1'S(N),POSTOPERATIVE PAIN,G89.18
BUPIVACAINE,BUPIVACAINE 0.5% VIAL 20ML -1'S(N),ANESTHESIA,"Y48, T41, T88.2, T88.5"
BUPIVACAINE,BUPIVACAINE 0.5% VIAL 20ML -1'S(N),POSTOPERATIVE PAIN,G89.18
CALCITONIN,Calcitonin 100 IU-ML AMP 1'S (N),OSTEOPOROSIS / PAGET'S DISEASE,"M80, M81"
CALCIUM FOLINATE,Calcium Folinate [Leucovorin Calcium] 100MG/10ML(N),LONG-TERM DRUG USE,Z79.1
CALCIUM FOLINATE,Calcium Folinate [Leucovorin Calcium] 100MG/10ML(N),LUNG CANCER,C34
CALCIUM FOLINATE,Calcium Folinate [Leucovorin Calcium] 100MG/10ML(N),COLON CANCER,C18
CALCIUM FOLINATE,Calcium Folinate [Leucovorin Calcium] 300 MG / 30 ML(N),LONG-TERM DRUG USE,Z79.1
CALCIUM FOLINATE,Calcium Folinate [Leucovorin Calcium] 300 MG / 30 ML(N),LUNG CANCER,C34
CALCIUM FOLINATE,Calcium Folinate [Leucovorin Calcium] 300 MG / 30 ML(N),COLON CANCER,C18
LEUCOVORIN,Calcium Folinate [Leucovorin Calcium] 50MG/5ML(N),COLORECTAL CANCER / FOLATE DEFICIENCY,"C18, C34, D52"
CALCIUM FOLINATE,CALCIUM FOLINATE 15MG CAP 10'S(N),LONG-TERM DRUG USE,Z79.1
CALCIUM FOLINATE,CALCIUM FOLINATE 15MG CAP 10'S(N),LUNG CANCER,C34
CALCIUM FOLINATE,CALCIUM FOLINATE 15MG CAP 10'S(N),COLON CANCER,C18
LEUCOVORIN,CALCIUM FOLINATE 15MG CAP 30'S(N),COLORECTAL CANCER / FOLATE DEFICIENCY,"C18, C34, D52"
CALCIUM PHOSPHATE,CAPHOSOL MOUTHWASH 15 ML 30'S(N),ORAL MUCOSITIS,"K12, C00-C14"
CAPTOPRIL,CAPTOPRIL 5MG/5ML ORAL SOLUTION 100ML (N),CONGESTIVE HEART FAILURE,I50
CAPTOPRIL,CAPTOPRIL 5MG/5ML ORAL SOLUTION 100ML (N),CHRONIC KIDNEY DISEASE,N18
CAPTOPRIL,CAPTOPRIL 5MG/5ML ORAL SOLUTION 100ML (N),HYPERTENSION,"I10, I11, I12, I13, I15"
CAPTOPRIL,CAPTOPRIL 5MG/5ML ORAL SOLUTION 100ML (N),SICKLE CELL DISEASE - ALBUMINURIA MANAGEMENT,D57
CAPTOPRIL,CAPTOPRIL 5MG/5ML ORAL SOLUTION 100ML (N),CORONARY ARTERY DISEASE,"I20, I25"
CAPTOPRIL,CAPTOPRIL 5MG/5ML ORAL SOLUTION 100ML (N),NON-ST WAVE ELEVATED MYOCARDIAL INFARCTION (NSTEMI),I21.4
CAPTOPRIL,CAPTOPRIL 5MG/5ML ORAL SOLUTION 100ML (N),ST-WAVE ELEVATED MYOCARDIAL INFARCTION (STEMI),"I21.0, I21.1, I21.2, I21.3"
CAPTOPRIL,CAPTOPRIL 5MG/5ML ORAL SOLUTION 100ML (N),CARDIOMYOPATHY,I42
CAPTOPRIL,CAPTOPRIL 5MG/5ML ORAL SOLUTION 100ML (N),SCLERODERMA,M34
-,CARBACHOL INTRAOCULAR SOL 0.01% VIAL 1ML-1'S(N),GLAUCOMA,"H40, H42"
"LEVODOPA,CARBIDOPA",CARBIDOPA + LEVODOPA (PLUS) 25/100 MG TAB 100'S (N),PARKINSONISM,G20
"LEVODOPA,CARBIDOPA",CARBIDOPA + LEVODOPA (PLUS) 25/100 MG TAB 100'S (N),SPASTICITY,M62.8
"LEVODOPA,CARBIDOPA",CARBIDOPA + LEVODOPA (PLUS) 25/100 MG TAB 100'S (N),HUNTINGTON'S DISEASE,G10
"LEVODOPA,CARBIDOPA",CARBIDOPA + LEVODOPA 10/100 MG TAB 10'S (N),PARKINSONISM,G20
"LEVODOPA,CARBIDOPA",CARBIDOPA + LEVODOPA 10/100 MG TAB 10'S (N),SPASTICITY,M62.8
"LEVODOPA,CARBIDOPA",CARBIDOPA + LEVODOPA 10/100 MG TAB 10'S (N),HUNTINGTON'S DISEASE,G10
"LEVODOPA,CARBIDOPA",CARBIDOPA + LEVODOPA 25/250 MG TAB 10'S(N),PARKINSONISM,G20
"LEVODOPA,CARBIDOPA",CARBIDOPA + LEVODOPA 25/250 MG TAB 10'S(N),SPASTICITY,M62.8
"LEVODOPA,CARBIDOPA",CARBIDOPA + LEVODOPA 25/250 MG TAB 10'S(N),HUNTINGTON'S DISEASE,G10
"LEVODOPA,CARBIDOPA",CARBIDOPA + LEVODOPA Extended-Release 50/200 MG TAB 100'S (N),PARKINSONISM,G20
"LEVODOPA,CARBIDOPA",CARBIDOPA + LEVODOPA Extended-Release 50/200 MG TAB 100'S (N),SPASTICITY,M62.8
"LEVODOPA,CARBIDOPA",CARBIDOPA + LEVODOPA Extended-Release 50/200 MG TAB 100'S (N),HUNTINGTON'S DISEASE,G10
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),NEUROENDOCRINE TUMORS,C07
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),THYROID CANCER-ANAPLASTIC CARCINOMA,C73
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),RETINOBLASTOMA,C69.2
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),MESOTHELIOMA,C45
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),OVARIAN CANCER,C56
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),Cervical Cancer,C53
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),Neurofibromatosis Type 1 - Optic Pathway Glioma,"Q85.01, C72.3"
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),SOFT TISSUE SARCOMA - RHABDOMYOSARCOMA,C49
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),NON-SMALL-CELL LUNG CARCINOMA (NSCLC),C34
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),SMALL CELL LUNG CANCER (SCLC),C34
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),TESTICULAR CANCER,C62
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),BONE SARCOMAS,"C40, C41"
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),VAGINAL AND VULVAR CANCERS,"C51, C52"
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),PROSTATE CANCER,"C61, D07.5"
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),ENDOMETRIAL CANCER,C54.1
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),DIFFUSE LARGE B-CELL LYMPHOMA (DLBCL),C83.3
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),FOLLICULAR LYMPHOMA,C82
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),HODGKIN'S LYMPHOMA,C81
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),MANTLE CELL LYMPHOMA,C83.1
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),PEDIATRIC B-CELL LYMPHOMA,"C83.0, C83.3, C85.1, C85.2"
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),T-CELL LYMPHOMA,C84
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),ESOPHAGEAL CANCER,C15
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),Neuroblastoma,C74.9
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),BREAST CANCER EARLY HER-2 -VE,"C50, C79.81, D05"
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),BREAST CANCER HER-2 +VE,"C50, C79.81, D05"
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),BREAST CANCER MET.HER-2 +VE,"C50, C79.81, D05"
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),BREAST CANCER MET.HER-2 -VE,"C50, C79.81, D05"
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),"RENAL CELL CARCINOMA (RCC)-COLLECTING DUCT, MEDULLARY NON-CC RCC",C64
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),WILMS TUMOR,C64
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),BURKITT`S LYMPHOMA,C83.7
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),GASTRIC CANCER,C16
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),BRAIN CANCERS,C71.9
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),ANAL CANCER,C21
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),HEAD AND NECK CANCER,"C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14
C30, C31, C32, C33, C76.0"
CARBOPLATIN,CARBOPLATIN 450MG/45ML VIAL 1'S (N),BLADDER CANCER,C67
CARBOPROST,CARBOPROST 250MCG/ML IM (N),POSTPARTUM HAEMORRHAGE,"O67, O72"
"SODIUM CHLORIDE, CALCIUM CHLORIDE, MAGNISIUM CHLORIDE, POTASSIUM CHLORIDE",CARDIOPLEGIC SOLN 1000 ML(BAXTER)(N),ACUTE PANCREATITIS,K85
"SODIUM CHLORIDE, CALCIUM CHLORIDE, MAGNISIUM CHLORIDE, POTASSIUM CHLORIDE",CARDIOPLEGIC SOLN 1000 ML(BAXTER)(N),DIARRHEA,K59.1
"SODIUM CHLORIDE, CALCIUM CHLORIDE, MAGNISIUM CHLORIDE, POTASSIUM CHLORIDE",CARDIOPLEGIC SOLN 1000 ML(BAXTER)(N),INFECTIOUS DIARRHEA-SUPPORTIVE TREATMENT,A04.9
"SODIUM CHLORIDE, CALCIUM CHLORIDE, MAGNISIUM CHLORIDE, POTASSIUM CHLORIDE",CARDIOPLEGIC SOLN 1000 ML(BAXTER)(N),FLUIDS AND VOLUME EXPANDERS-RESUSCITATION,I46
"SODIUM CHLORIDE, CALCIUM CHLORIDE, MAGNISIUM CHLORIDE, POTASSIUM CHLORIDE",CARDIOPLEGIC SOLN 1000 ML(BAXTER)(N),ACUTE KIDNEY INJURY (AKI),N17
"SODIUM CHLORIDE, CALCIUM CHLORIDE, MAGNISIUM CHLORIDE, POTASSIUM CHLORIDE",CARDIOPLEGIC SOLN 1000 ML(BAXTER)(N),ANESTHESIA-SUPPORTIVE AGENTS/ FLUID RESUSCITATION (UNCONTROLLED BLEEDING),"Y48, T41, T88.2, T88.5"
"SODIUM CHLORIDE, CALCIUM CHLORIDE, MAGNISIUM CHLORIDE, POTASSIUM CHLORIDE",CARDIOPLEGIC SOLN 1000 ML(BAXTER)(N),DIABETIC KETOACIDOSIS,"E10.1, E11.1"
"SODIUM CHLORIDE, CALCIUM CHLORIDE, MAGNISIUM CHLORIDE, POTASSIUM CHLORIDE",CARDIOPLEGIC SOLN 1000 ML(BAXTER)(N),ANAPHYLACTIC SHOCK,T78.2
"SODIUM CHLORIDE, CALCIUM CHLORIDE, MAGNISIUM CHLORIDE, POTASSIUM CHLORIDE",CARDIOPLEGIC SOLN 1000 ML(BAXTER)(N),BACTRIAL INFECTIONS OF THE GASTROINTESTINAL TRACT - VIBRIO CHOLERAE,"A04.9, A00"
"SODIUM CHLORIDE, CALCIUM CHLORIDE, MAGNISIUM CHLORIDE, POTASSIUM CHLORIDE",CARDIOPLEGIC SOLN 1000 ML(BAXTER)(N),Septic Shock,"R57.2, R65.21"
"SODIUM CHLORIDE, CALCIUM CHLORIDE, MAGNISIUM CHLORIDE, POTASSIUM CHLORIDE",CARDIOPLEGIC SOLN 1000 ML(BAXTER)(N),CENTRAL DIABETES INSIPIDUS,E23.2
"SODIUM CHLORIDE, CALCIUM CHLORIDE, MAGNISIUM CHLORIDE, POTASSIUM CHLORIDE",CARDIOPLEGIC SOLN 1000 ML(BAXTER)(N),ACUTE EXACERBATION OF BRONCHIECTASIS (NON-CYSTIC FIBROSIS)-LONG-TERM ORAL ANTIBIOTIC TREATMENT,J47
"SODIUM CHLORIDE, CALCIUM CHLORIDE, MAGNISIUM CHLORIDE, POTASSIUM CHLORIDE",CARDIOPLEGIC SOLN 1000 ML(BAXTER)(N),VIRAL GASTROENTERITIS,"A08, A09.0"
"SODIUM CHLORIDE, CALCIUM CHLORIDE, MAGNISIUM CHLORIDE, POTASSIUM CHLORIDE",CARDIOPLEGIC SOLN 1000 ML(BAXTER)(N),FLUIDS AND VOLUME EXPANDERS-MAINTENANCE FLUIDS,E86
"SODIUM CHLORIDE, CALCIUM CHLORIDE, MAGNISIUM CHLORIDE, POTASSIUM CHLORIDE",CARDIOPLEGIC SOLN 1000 ML(BAXTER)(N),MUCOPURULENT CONJUCTIVITIS - GONOCOCCAL INFECTION OF THE EYE - CHLAMYDIAL CONJUNCTIVITIS,"H10.0, A54.31, A74.0"
"SODIUM CHLORIDE, CALCIUM CHLORIDE, MAGNISIUM CHLORIDE, POTASSIUM CHLORIDE",CARDIOPLEGIC SOLN 1000 ML(BAXTER)(N),CYSTIC FIBROSIS,E84
"SODIUM CHLORIDE, CALCIUM CHLORIDE, MAGNISIUM CHLORIDE, POTASSIUM CHLORIDE",CARDIOPLEGIC SOLN 1000 ML(BAXTER)(N),FLUIDS AND VOLUME EXPANDERS-INTRACRANIAL HYPERTENSION (TRAUMATIC BRAIN INJURY),"G93.2, S06"
"SODIUM CHLORIDE, CALCIUM CHLORIDE, MAGNISIUM CHLORIDE, POTASSIUM CHLORIDE",CARDIOPLEGIC SOLN 1000 ML(BAXTER)(N),ACUTE EXACERBATION OF BRONCHIECTASIS (NON-CYSTIC FIBROSIS),J47
"SODIUM CHLORIDE, CALCIUM CHLORIDE, MAGNISIUM CHLORIDE, POTASSIUM CHLORIDE",CARDIOPLEGIC SOLN 1000 ML(BAXTER)(N),ALLERGIC CONJUCTIVITIS (AC),H10.1
"SODIUM CHLORIDE, CALCIUM CHLORIDE, MAGNISIUM CHLORIDE, POTASSIUM CHLORIDE",CARDIOPLEGIC SOLN 1000 ML(BAXTER)(N),ELECTROLYTE IMBALANCE,E87
"SODIUM CHLORIDE, CALCIUM CHLORIDE, MAGNISIUM CHLORIDE, POTASSIUM CHLORIDE",CARDIOPLEGIC SOLN 1000 ML(BAXTER)(N),DEHYDRATION,E86
CARGLUMIC ACID,CARGLUMIC ACID 100MG/ML ORAL SUS 50ML (N),HYPERAMMONEMIA,E72.20
CARGLUMIC ACID,CARGLUMIC ACID 100MG/ML ORAL SUS 50ML (N),ORGANIC ACIDEMIA,E72.4
CARVEDILOL,CARVEDILOL 12.5 MG TAB 28'S (N),ST-WAVE ELEVATED MYOCARDIAL INFARCTION (STEMI),"I21.0, I21.1, I21.2, I21.3"
CARVEDILOL,CARVEDILOL 12.5 MG TAB 28'S (N),ATRIAL FIBRILLATION,I48
CARVEDILOL,CARVEDILOL 12.5 MG TAB 28'S (N),CARDIOMYOPATHY,I42
CARVEDILOL,CARVEDILOL 12.5 MG TAB 28'S (N),CORONARY ARTERY DISEASE,"I20, I25"
CARVEDILOL,CARVEDILOL 12.5 MG TAB 28'S (N),NON-ST WAVE ELEVATED MYOCARDIAL INFARCTION (NSTEMI),I21.4
CARVEDILOL,CARVEDILOL 12.5 MG TAB 28'S (N),CONGESTIVE HEART FAILURE,I50
CARVEDILOL,CARVEDILOL 12.5 MG TAB 28'S (N),VENTRICULAR TACHYCARDIA,I47.2
CARVEDILOL,CARVEDILOL 12.5 MG TAB 28'S (N),PERSISTENT ERYTHEMA OF ROSACEA,L71
CARVEDILOL,CARVEDILOL 12.5 MG TAB 28'S (N),LIVER CIRRHOSIS,K74
CARVEDILOL,CARVEDILOL 12.5 MG TAB 28'S (N),ARRHYTHMIA,I49
CARVEDILOL,CARVEDILOL 12.5 MG TAB 28'S (N),HYPERTENSION,"I10, I11, I12, I13, I15"
CARVEDILOL,CARVEDILOL 3.125 mg TAB 28'S (N),ST-WAVE ELEVATED MYOCARDIAL INFARCTION (STEMI),"I21.0, I21.1, I21.2, I21.3"
CARVEDILOL,CARVEDILOL 3.125 mg TAB 28'S (N),ATRIAL FIBRILLATION,I48
CARVEDILOL,CARVEDILOL 3.125 mg TAB 28'S (N),CARDIOMYOPATHY,I42
CARVEDILOL,CARVEDILOL 3.125 mg TAB 28'S (N),CORONARY ARTERY DISEASE,"I20, I25"
CARVEDILOL,CARVEDILOL 3.125 mg TAB 28'S (N),NON-ST WAVE ELEVATED MYOCARDIAL INFARCTION (NSTEMI),I21.4
CARVEDILOL,CARVEDILOL 3.125 mg TAB 28'S (N),CONGESTIVE HEART FAILURE,I50
CARVEDILOL,CARVEDILOL 3.125 mg TAB 28'S (N),VENTRICULAR TACHYCARDIA,I47.2
CARVEDILOL,CARVEDILOL 3.125 mg TAB 28'S (N),PERSISTENT ERYTHEMA OF ROSACEA,L71
CARVEDILOL,CARVEDILOL 3.125 mg TAB 28'S (N),LIVER CIRRHOSIS,K74
CARVEDILOL,CARVEDILOL 3.125 mg TAB 28'S (N),ARRHYTHMIA,I49
CARVEDILOL,CARVEDILOL 3.125 mg TAB 28'S (N),HYPERTENSION,"I10, I11, I12, I13, I15"
CHLOROTHIAZIDE,CHLOROTHIAZIDE 250MG/5ML ORAL SOLUTION 237ML(N),HYPOPARATHYROIDISM,E20.9
CHLOROTHIAZIDE,CHLOROTHIAZIDE 250MG/5ML ORAL SOLUTION 237ML(N),DIABETES INSIPIDUS,E23.2
CHLOROTHIAZIDE,CHLOROTHIAZIDE 250MG/5ML ORAL SOLUTION 237ML(N),VERTIGO,H81
CHLOROTHIAZIDE,CHLOROTHIAZIDE 250MG/5ML ORAL SOLUTION 237ML(N),HEART FAILURE,I50
CHLOROTHIAZIDE,CHLOROTHIAZIDE 250MG/5ML ORAL SOLUTION 237ML(N),KIDNEY STONES,N20
CHLORPROMAZINE,CHLORPROMAZINE 100 MG TAB 20'S (N),SCHIZOPHRENIA / PSYCHOSIS / NAUSEA AND VOMITING,"F20, F25, R11"
CHLORPROMAZINE,CHLORPROMAZINE 25MG/ML 1'S (N),SCHIZOPHRENIA / PSYCHOSIS / NAUSEA AND VOMITING,"F20, F25, R11"
CHOLESTYRAMINE RESIN,CHOLESTYRAMINE (LIGHT) 4G PDR SAC 1'S (N),HYPERCHOLESTEROLAEMIA / BILIARY CIRRHOSIS,"E78, K74"
CINNARIZINE,CINNARIZINE 25 MG TAB 50'S (N),VERTIGO - MOTION SICKNESS,T75.3
CIPROFLOXACIN,CIPROFLOXACIN 250MG/5ML ORAL SOLUTION 100ML (N),ANTIMICROBIAL PROPHYLAXIS IN CANCER PATIENTS,Z29.8
CIPROFLOXACIN,CIPROFLOXACIN 250MG/5ML ORAL SOLUTION 100ML (N),ULCERATIVE COLITIS,K51
CIPROFLOXACIN,CIPROFLOXACIN 250MG/5ML ORAL SOLUTION 100ML (N),ACUTE EXACERBATION OF BRONCHIECTASIS (NON-CYSTIC FIBROSIS),J47
CIPROFLOXACIN,CIPROFLOXACIN 250MG/5ML ORAL SOLUTION 100ML (N),OSTEOMYELITIS,M86
